№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
3368,игр Кранч для собак слон с пищалкой розовая,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,750.0
3364,игр Кранч для собак- Фламинго с канатом и пищ,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,700.0
4642,игр резиновая для собак - ветка с щеткой и пищалкой,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,450.0
4646,игр резиновая для собак горох с пищ,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,450.0
4648,игр резиновая для собак кольцо с щеткой и пищ,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,500.0
2288,игрушка для собак штурвал из каната,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,900.0
4852,игрушка для кошек,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,220.0
4856,игрушка для кошек скат и питахайя,Товар с учетом,товары,,,шт,250.0
2998,Игрушка для собак Aromadog рыжий,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт.,650.0
2326,Игрушка для собак Птерозавр плюшевая с пищалкой голубая,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1000.0
3044,игрушка для собак AROMADOG фиолетовый,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,650.0
2340,"Игрушка для собак Зебра плюшевая с канатиками, пищалкой и карманом",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1000.0
2342,игрушка для собак из каната на кольцевом шнуре розовая с голубым,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,350.0
2996,Игрушка для собак Ослик плюшевая с канатиками,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт.,700.0
3042,Игрушка для собак палочка синтетическая резина с канатом 25 см,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,500.0
2364,игрушка для собак плетеный жгут с рез.мяч,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,900.0
2366,Игрушка для собак Птерозавр плюшевая оранжевая,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1000.0
3040,Игрушка для собак Регби синтетическая с канатом 25 см с ароматом мяты,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,400.0
2370,игрушка для собак хамелеон,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1050.0
2994,Игрушка для собак червячок с карманами под лакомство,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,750.0
2376,Игрушка для собак-Птерозавр плюшевая с пищалкой бордовая,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1000.0
2378,игрушка для собак-Птерозавр плюшевая с пищалкой зеленая,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1000.0
3356,игрушка Кранч для кошек леденец с кошачьей мятой красный,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,450.0
3362,игрушка мр Кранч для собак мелких и средних пород роза с канатом розовая,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,650.0
3360,игрушкаи М Кранч для собак канат с сердечками,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,500.0
3924,Измерение артериального давления тонометром,Услуга,Манипуляции,,,единица,300.0
4458,Измерения внутриглазного давления,Услуга,Терапия,,,единица,700.0
3926,Интубация трахеи,Услуга,Манипуляции,,,единица,800.0
3928,Инфузия 1 кат внутривенная в стационаре,Услуга,Манипуляции,,,единица,1800.0
3930,Инфузия 2 кат внутривенная в стационаре,Услуга,Манипуляции,,,единица,2100.0
3932,Инфузия 3 кат внутривенная в стационаре,Услуга,Манипуляции,,,единица,2400.0
3934,Инфузия внутривенная (капельница до 3-х часов),Услуга,Манипуляции,,,единица,1800.0
3936,Инфузия внутривенная 1 кат (капельница до 3-х часов),Услуга,Манипуляции,,,единица,2100.0
3938,Инфузия внутривенная 2 кат (капельница до 3-х часов),Услуга,Манипуляции,,,единица,2400.0
3940,Инфузия внутривенная 3 кат (капельница до 3-х часов),Услуга,Манипуляции,,,единица,2700.0
